(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.024) SHOW FULL TABLES; args=None
(0.024) SHOW FULL TABLES; args=None
(0.003) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
(0.003) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.000) SELECT `module`.`id`, `module`.`module_name`, `module`.`module_type`, `module`.`module_img`, `module`.`module_level`, `module`.`module_explanation`, `module`.`module_category`, `module`.`paper_link`, `module`.`create_date`, `module`.`modify_date` FROM `module`; args=()
(0.000) SELECT `module`.`id`, `module`.`module_name`, `module`.`module_type`, `module`.`module_img`, `module`.`module_level`, `module`.`module_explanation`, `module`.`module_category`, `module`.`paper_link`, `module`.`create_date`, `module`.`modify_date` FROM `module`; args=()
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2022-01-11 09:20:38.825335' AND `django_session`.`session_key` = '6wurprf3wnp7muv8fh3chwl46nvvwycp') LIMIT 21; args=('2022-01-11 09:20:38.825335', '6wurprf3wnp7muv8fh3chwl46nvvwycp')
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2022-01-11 09:20:38.825335' AND `django_session`.`session_key` = '6wurprf3wnp7muv8fh3chwl46nvvwycp') LIMIT 21; args=('2022-01-11 09:20:38.825335', '6wurprf3wnp7muv8fh3chwl46nvvwycp')
(0.000) SELECT `accounts_user`.`id`, `accounts_user`.`password`, `accounts_user`.`last_login`, `accounts_user`.`is_superuser`, `accounts_user`.`username`, `accounts_user`.`first_name`, `accounts_user`.`last_name`, `accounts_user`.`email`, `accounts_user`.`is_staff`, `accounts_user`.`is_active`, `accounts_user`.`date_joined`, `accounts_user`.`name`, `accounts_user`.`institution`, `accounts_user`.`state`, `accounts_user`.`role`, `accounts_user`.`level`, `accounts_user`.`department`, `accounts_user`.`employee_no`, `accounts_user`.`mobile_phone`, `accounts_user`.`company_phone`, `accounts_user`.`modify_date`, `accounts_user`.`auth` FROM `accounts_user` WHERE `accounts_user`.`id` = 1 LIMIT 21; args=(1,)
(0.000) SELECT `accounts_user`.`id`, `accounts_user`.`password`, `accounts_user`.`last_login`, `accounts_user`.`is_superuser`, `accounts_user`.`username`, `accounts_user`.`first_name`, `accounts_user`.`last_name`, `accounts_user`.`email`, `accounts_user`.`is_staff`, `accounts_user`.`is_active`, `accounts_user`.`date_joined`, `accounts_user`.`name`, `accounts_user`.`institution`, `accounts_user`.`state`, `accounts_user`.`role`, `accounts_user`.`level`, `accounts_user`.`department`, `accounts_user`.`employee_no`, `accounts_user`.`mobile_phone`, `accounts_user`.`company_phone`, `accounts_user`.`modify_date`, `accounts_user`.`auth` FROM `accounts_user` WHERE `accounts_user`.`id` = 1 LIMIT 21; args=(1,)
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2022-01-11 09:20:43.044458' AND `django_session`.`session_key` = '6wurprf3wnp7muv8fh3chwl46nvvwycp') LIMIT 21; args=('2022-01-11 09:20:43.044458', '6wurprf3wnp7muv8fh3chwl46nvvwycp')
(0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2022-01-11 09:20:43.044458' AND `django_session`.`session_key` = '6wurprf3wnp7muv8fh3chwl46nvvwycp') LIMIT 21; args=('2022-01-11 09:20:43.044458', '6wurprf3wnp7muv8fh3chwl46nvvwycp')
(0.000) SELECT `accounts_user`.`id`, `accounts_user`.`password`, `accounts_user`.`last_login`, `accounts_user`.`is_superuser`, `accounts_user`.`username`, `accounts_user`.`first_name`, `accounts_user`.`last_name`, `accounts_user`.`email`, `accounts_user`.`is_staff`, `accounts_user`.`is_active`, `accounts_user`.`date_joined`, `accounts_user`.`name`, `accounts_user`.`institution`, `accounts_user`.`state`, `accounts_user`.`role`, `accounts_user`.`level`, `accounts_user`.`department`, `accounts_user`.`employee_no`, `accounts_user`.`mobile_phone`, `accounts_user`.`company_phone`, `accounts_user`.`modify_date`, `accounts_user`.`auth` FROM `accounts_user` WHERE `accounts_user`.`id` = 1 LIMIT 21; args=(1,)
(0.000) SELECT `accounts_user`.`id`, `accounts_user`.`password`, `accounts_user`.`last_login`, `accounts_user`.`is_superuser`, `accounts_user`.`username`, `accounts_user`.`first_name`, `accounts_user`.`last_name`, `accounts_user`.`email`, `accounts_user`.`is_staff`, `accounts_user`.`is_active`, `accounts_user`.`date_joined`, `accounts_user`.`name`, `accounts_user`.`institution`, `accounts_user`.`state`, `accounts_user`.`role`, `accounts_user`.`level`, `accounts_user`.`department`, `accounts_user`.`employee_no`, `accounts_user`.`mobile_phone`, `accounts_user`.`company_phone`, `accounts_user`.`modify_date`, `accounts_user`.`auth` FROM `accounts_user` WHERE `accounts_user`.`id` = 1 LIMIT 21; args=(1,)
(0.000) SELECT COUNT(*) AS `__count` FROM `job` WHERE `job`.`user_id` = 1; args=(1,)
(0.000) SELECT COUNT(*) AS `__count` FROM `job` WHERE `job`.`user_id` = 1; args=(1,)
